Isolate ID,MLST,Count
CMZE063,ST131,328
CMZE064,ST131,328
CMZE065,ST131,328
CMZE066,ST131,328
CMZE068,ST131,328
CMZE070,ST131,328
CMZE072,ST131,328
CMZE074,ST131,328
CMZE076,ST131,328
CMZE077,ST131,328
CMZE078,ST131,328
CMZE079,ST131,328
CMZE081,ST131,328
CMZE083,ST131,328
CMZE085,ST131,328
CMZE086,ST131,328
CMZE087,ST131,328
CMZE089,ST131,328
CMZE090,ST131,328
CMZE091,ST131,328
CMZE092,ST131,328
CMZE094,ST131,328
CMZE095,ST131,328
CMZE097,ST131,328
CMZE098,ST131,328
CMZE099,ST131,328
CMZE100,ST131,328
CMZE101,ST131,328
CMZE102,ST131,328
CMZE103,ST131,328
CMZE104,ST131,328
CMZE105,ST131,328
CMZE107,ST131,328
CMZE108,ST131,328
CMZE109,ST131,328
CMZE110,ST131,328
CMZE111,ST131,328
CMZE113,ST131,328
CMZE118,ST131,328
CMZE120,ST131,328
CMZE121,ST131,328
CMZE123,ST131,328
CMZE127,ST131,328
CMZE128,ST131,328
CMZE130,ST131,328
CMZE131,ST131,328
CMZE132,ST131,328
CMZE133,ST131,328
CMZE134,ST131,328
CMZE135,ST131,328
CPO478,ST131,328
CQ7,ST131,328
E._coli_EC5,ST131,328
EC13,ST131,328
EC15,ST131,328
EC1O25bH4ST131,ST131,328
EC593,ST131,328
EcLESPA_112,ST131,328
EcLESPA_122,ST131,328
EcPF18,ST131,328
F7,ST131,328
G16,ST131,328
G23,ST131,328
G8,ST131,328
GHA_BE_NMIMRSEQ_2021_6,ST131,328
GHA_BE_NMIMRSEQ_2021_7,ST131,328
H6,ST131,328
KE25,ST131,328
LRPF62,ST131,328
M24,ST131,328
M45,ST131,328
M70,ST131,328
MNCRE44,ST131,328
MRSN102001,ST131,328
MRSN102032,ST131,328
MRSN102087,ST131,328
MRSN109932,ST131,328
MRSN109935,ST131,328
MRSN109957,ST131,328
MRSN109961,ST131,328
MRSN109972,ST131,328
MRSN109980,ST131,328
MRSN109998,ST131,328
MRSN110000,ST131,328
MRSN110023,ST131,328
MRSN110024,ST131,328
MRSN110025,ST131,328
MRSN387343,ST131,328
MRSN387389,ST131,328
MRSN387404,ST131,328
MRSN387413,ST131,328
MRSN488642,ST131,328
MRSN488758,ST131,328
MRSN488828,ST131,328
MRSN489094,ST131,328
MRSN570013,ST131,328
MRSN570086,ST131,328
MRSN570235,ST131,328
MRSN570572,ST131,328
MRSN612726,ST131,328
MRSN613202,ST131,328
MRSN701679,ST131,328
MRSN701725,ST131,328
MRSN701969,ST131,328
MRSN702001,ST131,328
MRSN702027,ST131,328
MRSN702123,ST131,328
MRSN824754,ST131,328
MRSN824770,ST131,328
MRSN831430,ST131,328
MRSN831472,ST131,328
MRSN831704,ST131,328
MRSN831712,ST131,328
MRSN831998,ST131,328
MRSN832468,ST131,328
MRSN832548,ST131,328
MRSN832556,ST131,328
O25b_H4,ST131,328
PAT14-3,ST131,328
PAT15-3,ST131,328
PAT7-3,ST131,328
PAT7-4,ST131,328
PAT9-3,ST131,328
PNUECU14,ST131,328
PNUECU15,ST131,328
PNUECU20,ST131,328
PNUECU27,ST131,328
PNUECU9,ST131,328
RECU172,ST131,328
RECU175,ST131,328
RECU184,ST131,328
RECU215,ST131,328
RECU218,ST131,328
RECU219,ST131,328
RECU221,ST131,328
RECU227,ST131,328
RECU231,ST131,328
RECU232,ST131,328
SA186,ST131,328
SAH2009_1,ST131,328
SAH2009_37,ST131,328
SAH2009_47,ST131,328
SAH2009_51,ST131,328
SAH2009_54,ST131,328
SAH2010_66,ST131,328
SMG014F12,ST131,328
U1,ST131,328
U3,ST131,328
UCS2,ST131,328
UPTC_GRECO_8,ST131,328
UTI_PT7,ST131,328
VUTI117,ST131,328
VUTI118,ST131,328
VUTI149,ST131,328
VUTI164,ST131,328
VUTI189,ST131,328
VUTI189_1,ST131,328
VUTI197,ST131,328
VUTI197_1,ST131,328
VUTI237,ST131,328
VUTI239,ST131,328
VUTI272,ST131,328
VUTI325,ST131,328
VUTI335,ST131,328
VUTI349,ST131,328
VUTI353,ST131,328
VUTI464,ST131,328
VUTI464_1,ST131,328
VUTI468,ST131,328
VUTI468_1,ST131,328
VUTI483,ST131,328
VUTI487,ST131,328
ZRUEC11,ST131,328
MRSN110015,ST13823,1
EC7_1,ST14,9
MRSN831536,ST14,9
MS10881,ST14,9
MS8318,ST14,9
MS8322,ST14,9
NA664,ST14,9
SMG007F1,ST14,9
SMG007F7,ST14,9
SMG007U,ST14,9
508,ST141,9
BWH_1226_E_col_1,ST141,9
BWH_905_E_col_1,ST141,9
BWH_907_E_col_1,ST141,9
BWH_938_E_col_1,ST141,9
BWH_952_E_col_1,ST141,9
EC57,ST141,9
PAT8-2,ST141,9
PAT8-4,ST141,9
BWH_1496_E_col_1,ST1431,2
BWH_1497_E_col_1,ST1431,2
KL53,ST1434,1
KE24,ST1441,1
IN01,ST1463,2
IN02,ST1463,2
BWH_1033_E_col_1,ST1485,6
M160133,ST1485,6
PAT2-4,ST1485,6
PAT2-5,ST1485,6
PAT2-6,ST1485,6
PAT2-7,ST1485,6
6EC,ST155,3
BWH_265_E_col_1,ST155,3
CMZE080,ST155,3
UFU_EC98,ST156,1
CMZE060,ST1588,1
PAT1-9,ST1597,1
BWH_1013_E_col_1,ST162,8
BWH_134_E_col_1,ST162,8
BWH_872_E_col_1,ST162,8
CMZE005,ST162,8
G25,ST162,8
IN05,ST162,8
MRSN832564,ST162,8
VUTI154,ST162,8
APEC_01,ST167,15
CREC_5,ST167,15
EC2_,ST167,15
ECO3183,ST167,15
H106,ST167,15
KEC2,ST167,15
MRSN102069,ST167,15
MRSN109931,ST167,15
MRSN110004,ST167,15
MRSN110016,ST167,15
MRSN701709,ST167,15
MRSN701717,ST167,15
MRSN701733,ST167,15
SLDY13,ST167,15
Y5,ST167,15
VUTI360,ST1670,2
VUTI360_1,ST1670,2
GHA_BE_NMIMRSEQ_2021_8,ST1722,1
MRSN570712,ST1737,1
MRSN832514,ST1844,3
VUTI342,ST1844,3
VUTI342_1,ST1844,3
VUTI204,ST1859,2
VUTI204_1,ST1859,2
EC9_1,ST1880,1
BWH_1867_E_col,ST2015,4
BWH_989_E_col_1,ST2015,4
VUTI119,ST2015,4
VUTI290,ST2015,4
GHA_BE_NMIMRSEQ_2021_3,ST205,1
CREC_1,ST2083,2
CREC-9,ST2083,2
23EC,ST212,1
MRSN832370,ST2141,1
CMZE082,ST215,1
EcPF16,ST216,1
VUTI490,ST2165,1
BR02_DEC,ST2179,3
BR03_DEC,ST2179,3
BR07_DEC,ST2179,3
EC1515,ST219,2
EC974,ST219,2
VUTI320,ST2200,1
BR29_DEC,ST224,4
BR64_DEC,ST224,4
MRSN831414,ST224,4
MRSN831528,ST224,4
VUTI223,ST2248,1
BWH_1060_E_col_1,ST2279,8
BWH_1125_E_col_1,ST2279,8
BWH_1612_E_col_1,ST2279,8
BWH_665_E_col_1,ST2279,8
EcLESPA_169,ST2279,8
EcLESPA_192,ST2279,8
EcPF7,ST2279,8
UTI-U7,ST2279,8
CMZE117,ST23,1
BWH_1046_E_col_1,ST2380,1
BR10_DEC,ST2509,2
VUTI282,ST2509,2
VUTI126,ST2521,1
GHA_BE_NMIMRSEQ_2021_5,ST2522,1
PAT10-3,ST2558,1
MRSN701687,ST2598,1
MRSN832194,ST2607,1
PAT16-2,ST2613,1
VUTI307,ST2618,1
VUTI337,ST2792,1
Combat11I9,ST2847,1
UPEC_245U_190328,ST295,1
MRSN102003,ST315,2
MRSN102029,ST315,2
GHA_BE_NMIMRSEQ_2021_4,ST34,2
UPTC_GRECO_10,ST34,2
VUTI479,ST348,2
VUTI479_1,ST348,2
MRSN831884,ST3489,1
BWH_1593_E_col,ST349,3
VUTI172,ST349,3
VUTI172_1,ST349,3
16EC,ST351,1
222A040,ST354,2
H17,ST354,2
PAT17-2,ST357,3
PAT19-2,ST357,3
VUTI198,ST357,3
BWH_1846_E_col,ST3580,2
VUTI412,ST3580,2
A1.S1.160,ST361,3
CPO195,ST361,3
SMG012F3,ST361,3
VUTI473,ST362,2
VUTI473_1,ST362,2
BWH_1295_E_col_1,ST372,2
BWH_946_E_col_1,ST372,2
55451,ST38,48
57464,ST38,48
59306,ST38,48
59401,ST38,48
59609,ST38,48
60448,ST38,48
60730,ST38,48
60731,ST38,48
61331,ST38,48
61464,ST38,48
64796,ST38,48
28Eco12,ST38,48
